All calculations,GG_01,GG_02,PQ_Meas_GG01_11kV,PQ_Meas_GG02_11kV,PQ_Meas_RL01_11kV,PQ_Meas_RL02_11kV,PQ_Meas_WF_11kV,PQ_Meas_ESS_TR_11kV,PQ_Meas_LV_Load_11kV,PQ_Meas_WT1_33kV,PQ_Meas_WT2_33kV,PQ_Meas_WT3_33kV,GG_01
"b:tnow in s","s:xspeed in p.u.","s:xspeed in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:p in p.u.","s:ut in p.u."
-0.053732,0.999828,0.999869,17.290609,17.066179,44.638464,0.000000,11.638227,-0.533441,0.823111,3.953224,3.924059,3.935471,1.008669
-0.053059,0.999825,0.999867,17.303163,17.049221,44.622728,0.000000,11.612761,-0.519590,0.822827,3.947578,3.922741,3.929982,1.008512
-0.052324,0.999823,0.999866,17.305363,17.030496,44.644424,0.000000,11.648539,-0.516780,0.823194,3.957246,3.931408,3.944708,1.008975
-0.051664,0.999820,0.999864,17.309706,17.024794,44.630792,0.000000,11.647174,-0.527960,0.822922,3.951855,3.924852,3.936836,1.008834
-0.050979,0.999818,0.999863,17.318231,17.027204,44.645195,0.000000,11.649849,-0.526915,0.823173,3.964766,3.936134,3.943732,1.009066
-0.050316,0.999815,0.999861,17.319431,17.006341,44.651114,0.000000,11.645799,-0.497115,0.823342,3.955915,3.927919,3.937985,1.008780
-0.049603,0.999813,0.999860,17.311302,17.010834,44.631834,0.000000,11.620104,-0.487433,0.822973,3.949316,3.925767,3.932951,1.008699
-0.048885,0.999810,0.999858,17.299631,17.015216,44.658586,0.000000,11.652280,-0.485103,0.823438,3.957155,3.931759,3.945372,1.009249
-0.048246,0.999808,0.999856,17.290168,17.028665,44.649422,0.000000,11.650282,-0.496426,0.823267,3.953224,3.926570,3.945379,1.009059
-0.047551,0.999805,0.999855,17.291222,17.048945,44.672199,0.000000,11.644189,-0.488449,0.823709,3.953879,3.925894,3.938382,1.009328
-0.046876,0.999803,0.999853,17.268227,17.047798,44.665360,0.000000,11.633272,-0.460322,0.823616,3.950796,3.923582,3.941478,1.008954
-0.046197,0.999801,0.999851,17.247601,17.066073,44.657891,0.000000,11.623385,-0.455694,0.823474,3.950583,3.925262,3.940263,1.008971
