All calculations,Vmesa_ESS_690V,ESS_GC,PQ_Meas_BCs_CurrentSource,ESS_GC,ESS_GC,BC_DCLinkSide,FC_DCLinkSide
"b:tnow in s","s:u in p.u.","m:Psum:busac in MW","s:p in p.u.","s:uDC in p.u.","s:iDC in p.u.","s:i0dc in p.u.","s:i0dc in p.u."
-0.036405,1.014357,-0.338554,0.056616,1.000000,0.000613,0.023778,0.000277
-0.035686,1.015085,-0.336775,0.058460,1.000000,0.003521,0.023613,0.000275
-0.035047,1.015752,-0.322707,0.066258,1.000000,0.012778,0.023458,0.000272
-0.034340,1.017107,-0.313505,0.060326,1.000000,0.006698,0.023297,0.000270
-0.033668,1.015493,-0.325712,0.056094,1.000000,-0.001457,0.023133,0.000267
-0.032914,1.014822,-0.308920,0.046249,1.000000,-0.001141,0.022981,0.000265
-0.032176,1.014532,-0.316233,0.044328,1.000000,0.001992,0.022840,0.000263
-0.031520,1.015695,-0.307272,0.039591,1.000000,0.009089,0.022707,0.000261
-0.030850,1.016140,-0.313886,0.045650,1.000000,0.000492,0.022569,0.000259
-0.030115,1.015021,-0.302064,0.047251,1.000000,-0.004647,0.022434,0.000257
-0.029415,1.015082,-0.287702,0.055684,1.000000,-0.003209,0.022316,0.000255
-0.028733,1.016249,-0.269084,0.058205,1.000000,0.003826,0.022207,0.000254
-0.028062,1.015521,-0.291995,0.061122,1.000000,0.006099,0.022098,0.000252
-0.027360,1.017928,-0.258188,0.055891,1.000000,-0.002010,0.021979,0.000251
-0.026665,1.014287,-0.284355,0.049305,1.000000,-0.007521,0.021866,0.000249
-0.025926,1.014816,-0.271798,0.041568,1.000000,-0.004401,0.021762,0.000248
-0.025253,1.015084,-0.266612,0.041878,1.000000,0.000691,0.021670,0.000247
-0.024543,1.016377,-0.258667,0.038746,1.000000,0.000839,0.021574,0.000246
-0.023867,1.016100,-0.260236,0.043711,1.000000,-0.006932,0.021469,0.000245
-0.023142,1.014870,-0.247862,0.048476,1.000000,-0.009625,0.021376,0.000244
-0.022461,1.015722,-0.241968,0.054432,1.000000,-0.005379,0.021293,0.000243
-0.021721,1.016444,-0.228049,0.057085,1.000000,0.001589,0.021212,0.000242
-0.021063,1.017183,-0.222449,0.057863,1.000000,-0.001471,0.021124,0.000241
-0.020341,1.016521,-0.227180,0.049006,1.000000,-0.011139,0.021033,0.000241
-0.019641,1.014247,-0.237324,0.044858,1.000000,-0.011560,0.020950,0.000240
-0.018916,1.015409,-0.223859,0.038484,1.000000,-0.006818,0.020875,0.000239
-0.018168,1.015575,-0.229701,0.038030,1.000000,-0.001475,0.020803,0.000239
-0.017520,1.016560,-0.215646,0.038669,1.000000,-0.008308,0.020717,0.000239
-0.016799,1.015513,-0.217519,0.046303,1.000000,-0.013669,0.020635,0.000238
-0.016088,1.014822,-0.214066,0.049194,1.000000,-0.011897,0.020568,0.000238
