All calculations,ESS 690V PLL Type 1 Model 3,PLL_WT1_690V_G,PLL_WT2_690V_G,PLL_WT3_690V_G,GG_01,GG_02
"b:tnow in s","s:fmeas in p.u.","s:fmeas in p.u.","s:fmeas in p.u.","s:fmeas in p.u.","s:xspeed in p.u.","s:xspeed in p.u."
0.642331,0.999026,0.999004,0.999004,0.999068,0.999151,0.999166
0.643039,0.999027,0.999066,0.999066,0.999035,0.999151,0.999167
0.643713,0.998905,0.998908,0.998908,0.998904,0.999152,0.999168
0.644405,0.999048,0.998815,0.998815,0.998832,0.999152,0.999168
0.645121,0.999018,0.999032,0.999032,0.999063,0.999153,0.999169
0.645769,0.998973,0.999068,0.999068,0.999120,0.999153,0.999170
0.646516,0.998891,0.998946,0.998946,0.998959,0.999154,0.999170
0.647210,0.998878,0.999006,0.999006,0.998972,0.999154,0.999171
0.647931,0.998971,0.998976,0.998976,0.998969,0.999155,0.999172
0.648651,0.999011,0.998960,0.998960,0.999015,0.999156,0.999173
0.649361,0.999051,0.999107,0.999107,0.999116,0.999156,0.999173
0.650077,0.998938,0.998941,0.998941,0.998931,0.999157,0.999174
0.650791,0.999013,0.998794,0.998794,0.998810,0.999157,0.999175
0.651484,0.999008,0.999013,0.999013,0.999026,0.999158,0.999176
0.652236,0.999027,0.999110,0.999110,0.999151,0.999158,0.999176
0.652935,0.998923,0.998979,0.998979,0.999021,0.999159,0.999177
0.653622,0.998841,0.999030,0.999030,0.998984,0.999160,0.999178
0.654330,0.999022,0.998956,0.998956,0.998937,0.999160,0.999178
0.655030,0.998948,0.998945,0.998945,0.998989,0.999161,0.999179
0.655722,0.999062,0.999158,0.999158,0.999173,0.999162,0.999180
0.656415,0.999000,0.998938,0.998938,0.998966,0.999162,0.999181
0.657131,0.998922,0.998879,0.998879,0.998889,0.999163,0.999181
0.657859,0.999041,0.999028,0.999028,0.999031,0.999163,0.999182
0.658533,0.999050,0.999022,0.999022,0.999037,0.999164,0.999183
0.659261,0.998975,0.999023,0.999023,0.999059,0.999165,0.999184
0.659940,0.998864,0.999042,0.999042,0.999037,0.999165,0.999184
0.660669,0.998971,0.998884,0.998884,0.998872,0.999166,0.999185
0.661360,0.998923,0.998915,0.998915,0.998945,0.999167,0.999186
0.662080,0.999040,0.999156,0.999156,0.999177,0.999167,0.999186
0.662761,0.999044,0.999019,0.999019,0.999067,0.999168,0.999187
0.663490,0.998947,0.998924,0.998924,0.998897,0.999169,0.999188
0.664200,0.999061,0.999077,0.999077,0.999065,0.999169,0.999189
0.664938,0.999012,0.998971,0.998971,0.998975,0.999170,0.999189
0.665652,0.999030,0.999004,0.999004,0.999049,0.999170,0.999190
0.666320,0.998922,0.999082,0.999082,0.999098,0.999171,0.999191
0.666994,0.998854,0.998825,0.998825,0.998827,0.999171,0.999192
0.667728,0.999012,0.998968,0.998968,0.998979,0.999172,0.999192
0.668437,0.998983,0.999116,0.999116,0.999151,0.999173,0.999193
0.669127,0.999043,0.999033,0.999033,0.999090,0.999173,0.999194
0.669840,0.999031,0.999077,0.999077,0.999031,0.999174,0.999195
0.670526,0.998931,0.998947,0.998947,0.998935,0.999174,0.999195
0.671240,0.999063,0.998828,0.998828,0.998851,0.999175,0.999196
0.671937,0.999048,0.999080,0.999080,0.999102,0.999176,0.999197
0.672676,0.998971,0.999109,0.999109,0.999137,0.999176,0.999198
0.673343,0.998867,0.998899,0.998899,0.998939,0.999177,0.999199
0.674069,0.998979,0.998992,0.998992,0.998955,0.999177,0.999199
0.674760,0.998960,0.999088,0.999088,0.999084,0.999178,0.999200
0.675479,0.999049,0.999032,0.999032,0.999091,0.999179,0.999201
0.676211,0.999054,0.999128,0.999128,0.999112,0.999179,0.999202
0.676868,0.998955,0.998924,0.998924,0.998913,0.999180,0.999202
0.677589,0.999032,0.998859,0.998859,0.998880,0.999181,0.999203
0.678277,0.999050,0.999086,0.999086,0.999096,0.999181,0.999204
0.678948,0.999039,0.999089,0.999089,0.999137,0.999182,0.999205
0.679660,0.998922,0.999065,0.999065,0.999045,0.999183,0.999205
0.680341,0.998894,0.999011,0.999011,0.998997,0.999184,0.999206
0.681067,0.999002,0.998889,0.998889,0.998902,0.999184,0.999207
0.681738,0.999002,0.999071,0.999071,0.999102,0.999185,0.999208
0.682461,0.999071,0.999134,0.999134,0.999162,0.999186,0.999208
0.683140,0.999004,0.998959,0.998959,0.998998,0.999186,0.999209
0.683858,0.998995,0.999020,0.999020,0.998976,0.999187,0.999210
0.684534,0.999057,0.999020,0.999020,0.999009,0.999187,0.999211
0.685266,0.999061,0.998943,0.998943,0.999010,0.999188,0.999212
0.686022,0.998971,0.999127,0.999127,0.999137,0.999189,0.999212
0.686678,0.998915,0.998997,0.998997,0.998998,0.999189,0.999213
0.687386,0.998937,0.998838,0.998838,0.998851,0.999190,0.999214
0.688085,0.998997,0.999038,0.999038,0.999055,0.999191,0.999215
0.688770,0.999057,0.999159,0.999159,0.999197,0.999191,0.999216
